iter	RMSE
0	13979744.03
1	13119956.84
2	12327735.66
3	11598359.55
4	10909811.61
5	10285253.66
6	9678676.894
7	9119439.285
8	8598134.795
9	8125535.877
10	7676240.493
11	7271285.144
12	6886852.538
13	6549333.918
14	6222165.844
15	5922498.079
16	5652544.457
17	5402474.301
18	5166294.333
19	4945960.623
20	4745252.168
21	4563293.643
22	4390198.588
23	4235898.225
24	4079714.284
25	3946181.003
26	3807627.721
27	3689449.722
28	3586512.419
29	3489117.117
30	3392125.064
31	3310609.051
32	3236664.275
33	3165955.483
34	3106872.074
35	3041584.302
36	2986764.728
37	2931121.407
38	2884459.888
39	2843261.778
40	2800772.156
41	2757730.523
42	2717152.551
43	2680927.667
44	2645397.944
45	2613609.082
46	2585301.761
47	2565871.352
48	2541306.663
49	2520891.516
50	2491860.228
51	2473118.699
52	2447249.515
53	2436426.761
54	2422884.618
55	2410997.189
56	2400888.15
57	2390985.09
58	2374492.361
59	2359141.453
60	2352737.886
61	2348703.91
62	2339818.969
63	2328623.545
64	2323140.87
65	2306272.695
66	2300204.117
67	2287536.323
68	2273175.16
69	2265658.921
70	2261099.019
71	2257124.632
72	2247282.919
73	2236100.661
74	2232647.767
75	2225866.93
76	2215954.51
77	2212631.549
78	2208837.407
79	2201972.637
80	2189297.314
81	2183809.442
82	2174345.73
83	2163283.829
84	2159046.826
85	2153420.186
86	2139210.066
87	2133930.37
88	2121806.259
89	2119309.034
90	2111845.67
91	2109296.818
92	2095641.413
93	2091680.39
94	2083278.735
95	2077001.666
96	2072484.441
97	2070590.105
98	2063952.693
99	2057951.856
100	2053662.644
101	2049819.049
102	2045590.407
103	2040783.134
104	2037648.872
105	2033914.893
106	2026142.283
107	2024182.04
108	2014402.174
109	2003273.742
110	2000534.466
111	1995657.661
112	1992549.517
113	1988408.245
114	1986297.4
115	1981529.258
116	1977864.193
117	1972024.889
118	1963678.41
119	1957185.157
120	1952906.668
121	1949392.694
122	1946682.13
123	1945313.982
124	1943124.991
125	1939018.217
126	1932240.429
127	1927326.21
128	1920218.381
129	1918177.006
130	1915341.29
131	1913470.299
132	1911717.838
133	1909270.741
134	1905858.342
135	1902178.981
136	1899195.231
137	1894465.116
138	1891479.436
139	1884584.27
140	1881809.927
141	1879829.444
142	1874414.376
143	1872262.42
144	1870421.602
145	1866102.286
146	1863954.451
147	1862981.48
148	1859681.911
149	1856899.246
150	1850822.939
151	1845426.247
152	1840571.112
153	1838596.719
154	1835476.584
155	1830366.136
156	1829152.197
157	1826582.35
158	1823707.105
159	1820514.067
160	1813812.857
161	1807392.711
162	1803690.997
163	1799264.848
164	1798151.811
165	1794550.265
166	1790412.112
167	1784797.631
168	1779734.277
169	1775714.029
170	1773743.682
171	1768775.634
172	1766891.716
173	1763266.252
174	1760075.412
175	1759022.81
176	1754453.428
177	1751866.289
178	1749780.758
179	1744039.415
180	1739906.68
181	1734717.945
182	1730353.91
183	1728856.96
184	1723864.545
185	1721491.45
186	1718045.12
187	1717124.794
188	1714020.547
189	1708772.093
190	1706784.923
191	1703993.405
192	1702737.52
193	1696812.427
194	1694529.243
195	1693718.211
196	1691275.55
197	1686641.287
198	1682015.831
199	1680816.854
200	1676750.771
201	1672554.769
202	1671350.927
203	1668167.883
204	1664063.991
205	1662856.03
206	1656236.183
207	1650920.914
208	1648585.553
209	1647067.504
210	1641928.013
211	1637608.736
212	1636748.936
213	1636153.72
214	1634762.668
215	1631801.427
216	1624627.157
217	1622687.024
218	1619522.747
219	1618702.186
220	1617063.456
221	1612568.294
222	1606971.362
223	1603158.056
224	1602187.755
225	1599778.074
226	1596880.599
227	1595283.847
228	1588949.76
229	1584933.966
230	1582822.199
231	1582255.697
232	1575988.13
233	1572844.362
234	1571096.53
235	1568745.934
236	1565342.682
237	1560052.452
238	1556623.397
239	1555299.359
240	1551353.356
241	1550582.305
242	1546258.09
243	1541195.124
244	1534535.794
245	1533963.136
246	1530210.476
247	1526423.809
248	1525502.123
249	1523254.481
250	1519734.581
251	1515544.596
252	1513552.158
253	1511919.453
254	1510453.686
255	1509744.8
256	1506543.155
257	1504751.076
258	1500793.476
259	1497542.465
260	1495368.674
261	1494028.996
262	1493293.833
263	1490695.994
264	1488934.952
265	1487879.81
266	1484458.861
267	1483140.884
268	1480222.919
269	1478071.007
270	1475572.859
271	1474996.973
272	1473198.188
273	1470781.737
274	1468282.897
275	1465234.48
276	1463029.411
277	1461555.52
278	1457610.009
279	1452032.496
280	1446805.017
281	1445491.513
282	1444307.089
283	1441153.828
284	1437393.414
285	1434552.349
286	1433041.807
287	1431675.381
288	1429475.579
289	1426489.758
290	1425091.736
291	1422511.479
292	1419186.892
293	1418131.753
294	1414654.935
295	1412609.805
296	1409813.178
297	1405845.935
298	1405102.474
299	1404331.571
300	1402889.931
301	1400274.824
302	1398433.446
303	1395422.442
304	1394278.552
305	1392500.003
306	1391946.443
307	1389685.489
308	1387303.71
309	1383991.807
310	1381367.653
311	1378725.397
312	1376621.539
313	1374158.074
314	1372422.451
315	1371578.777
316	1369806.632
317	1368974.122
318	1367832.973
319	1365977.394
320	1363683.672
321	1361015.109
322	1359118.302
323	1358112.761
324	1355870.567
325	1352327.813
326	1349889.655
327	1349173.908
328	1347434.661
329	1344227.01
330	1343271.763
331	1341832.591
332	1340186.994
333	1337932.396
334	1334481.141
335	1331507.942
336	1328793.428
337	1326893.781
338	1326328.516
339	1323705.728
340	1322620.391
341	1320814.446
342	1318325.01
343	1317195.379
344	1316830.132
345	1315624.971
346	1314007.454
347	1312460.598
348	1310846.999
349	1310506.574
350	1309593.44
351	1308768.684
352	1305811.914
353	1303563.365
354	1302456.431
355	1301488.187
356	1299164.941
357	1295467.982
358	1294524.022
359	1291547.656
360	1289576.59
361	1288896.758
362	1288106.165
363	1286168.91
364	1283193.131
365	1280139.596
366	1279544.658
367	1278430.747
368	1275727.291
369	1273779.809
370	1269857.369
371	1268049.851
372	1265565.702
373	1264081.02
374	1263336.529
375	1262829.107
376	1262185.716
377	1259895.873
378	1258616.737
379	1256692.01
380	1255216.4
381	1252926.758
382	1250343.62
383	1248576.62
384	1247057.07
385	1245808.896
386	1243323.676
387	1241021.181
388	1240245.701
389	1238305.339
390	1235360.693
391	1234280.33
392	1232042.893
393	1231026.53
394	1229492.629
395	1227451.824
396	1225258.91
397	1224804.715
398	1222409.703
