iter	Passed	Remaining
0	326	265695
1	467	190331
2	579	157008
3	749	152170
4	977	158478
5	1342	181277
6	1517	175370
7	1636	165314
8	1743	156378
9	1862	150100
10	2001	146499
11	2138	143303
12	2331	144041
13	2484	142346
14	2601	138909
15	2705	135299
16	2820	132550
17	2986	132384
18	3122	130983
19	3253	129475
20	3394	128508
21	3527	127295
22	3644	125646
23	3759	124056
24	3871	122497
25	3996	121423
26	4137	120907
27	4279	120443
28	4411	119722
29	4546	119115
30	4700	119020
31	4840	118586
32	4977	118103
33	5120	117767
34	5250	117160
35	5365	116259
36	5466	115082
37	5565	113954
38	5695	113469
39	5804	112609
40	5934	112174
41	6049	111483
42	6175	111018
43	6295	110464
44	6417	109957
45	6528	109285
46	6668	109108
47	6797	108752
48	6918	108301
49	7027	107662
50	7140	107112
51	7246	106466
52	7455	107326
53	7652	107990
54	7756	107317
55	7859	106666
56	7953	105910
57	8054	105259
58	8149	104558
59	8248	103931
60	8331	103120
61	8420	102398
62	8542	102098
63	8651	101649
64	8742	101012
65	8873	100833
66	9054	101224
67	9187	101059
68	9302	100708
69	9403	100210
70	9506	99755
71	9601	99214
72	9856	100321
73	9990	100179
74	10091	99705
75	10190	99223
76	10289	98755
77	10393	98342
78	10489	97859
79	10595	97477
80	10700	97100
81	10791	96599
82	10888	96163
83	10984	95720
84	11082	95309
85	11407	96831
86	12748	106826
87	13748	113741
88	14876	121522
89	15676	126460
90	16201	129075
91	16335	128551
92	16494	128233
93	16623	127680
94	16735	127017
95	16845	126342
96	16937	125545
97	17028	124762
98	17121	124003
99	17219	123294
100	17311	122550
101	17394	121763
102	17489	121069
103	17585	120395
104	17676	119693
105	17762	118974
106	17856	118321
107	17950	117672
108	18042	117027
109	18138	116415
110	18233	115809
111	18322	115168
112	18412	114551
113	18508	113970
114	18598	113368
115	18684	112753
116	18781	112209
117	18871	111629
118	18963	111072
119	19051	110496
120	19136	109915
121	19227	109378
122	19311	108803
123	19394	108234
124	19477	107670
125	19565	107145
126	19654	106630
127	19740	106106
128	19825	105583
129	19911	105072
130	20002	104595
131	20088	104093
132	20177	103616
133	20263	103129
134	20356	102687
135	20450	102251
136	20547	101839
137	20642	101415
138	20729	100962
139	20818	100524
140	20908	100095
141	21000	99676
142	21090	99256
143	21184	98861
144	21270	98430
145	21363	98038
146	21456	97649
147	21542	97231
148	21628	96818
149	21714	96412
150	21801	96013
151	21909	95708
152	22005	95358
153	22095	94983
154	22190	94630
155	22280	94263
156	22392	93993
157	22569	93990
158	22672	93683
159	22791	93445
160	22918	93240
161	23020	92934
162	23273	93238
163	24034	95549
164	24845	98025
165	25755	100848
166	26637	103520
167	27406	105709
168	28125	107675
169	28279	107461
170	28404	107140
171	28527	106812
172	28631	106417
173	28764	106130
174	28870	105749
175	28973	105358
176	29074	104964
177	29182	104598
178	29283	104210
179	29398	103873
180	29510	103530
181	29609	103144
182	29706	102755
183	29802	102366
184	29912	102025
185	30007	101639
186	30109	101276
187	30204	100896
188	30296	100505
